annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;numero_jokerplus;devise;
2010100;SAMEDI  ;20100821;20101021;8;44;14;48;29;7;8-14-29-44-48+7;0;0;1;408686,7;582;1144,1;26673;10,8;380905;5,4;956542;2;9 572 979;eur;
2010099;MERCREDI;20100818;20101018;49;43;46;27;23;6;23-27-43-46-49+6;0;0;5;64762,4;520;1014,5;20556;11,1;286861;5,6;446762;2;3 315 222;eur;
2010098;LUNDI   ;20100816;20101016;13;22;40;28;31;9;13-22-28-31-40+9;0;0;0;0;447;1224,7;15714;9,3;217832;4,8;292234;2;4 072 826;eur;
2010097;SAMEDI  ;20100814;20101014;21;27;9;49;11;5;9-11-21-27-49+5;1;2000000;6;67341,8;1152;571,4;43279;6,5;513299;3,9;694470;2;7 417 433;eur;
2010096;MERCREDI;20100811;20101011;7;22;8;26;5;2;5-7-8-22-26+2;0;0;2;155310,5;987;512,7;37901;5,7;426840;3,6;333078;2;7 690 972;eur;
2010095;LUNDI   ;20100809;20101009;7;15;18;8;25;6;7-8-15-18-25+6;1;2000000;2;103488,9;618;545,6;21277;6,8;256883;4;286567;2;8 249 309;eur;
2010094;SAMEDI  ;20100807;20101007;43;6;46;27;5;7;5-6-27-43-46+7;1;5000000;1;420700,4;508;1349,3;25384;11,6;410451;5,1;977263;2;0 100 603;eur;
2010093;MERCREDI;20100804;20101004;32;8;46;22;9;8;8-9-22-32-46+8;0;0;0;0;418;2058,7;20159;11,4;320085;5,1;453722;2;0 304 775;eur;
2010092;LUNDI   ;20100802;20101002;16;32;44;38;37;3;16-32-37-38-44+3;0;0;1;211010,4;212;1621,6;10011;14,8;153368;6,9;326855;2;2 702 669;eur;
2010091;SAMEDI  ;20100731;20100930;2;25;44;28;8;4;2-8-25-28-44+4;0;0;3;136127;752;884,8;32129;8,9;431162;4,7;593036;2;4 168 200;eur;
2010090;MERCREDI;20100728;20100927;25;37;7;10;47;10;7-10-25-37-47+10;1;3000000;6;54220,9;653;811,7;28392;8;349629;4,6;294754;2;3 043 590;eur;
2010089;LUNDI   ;20100726;20100925;4;42;37;23;43;7;4-23-37-42-43+7;0;0;0;0;257;2170,9;11551;12,9;175459;6;474136;2;5 933 136;eur;
2010088;SAMEDI  ;20100724;20100923;18;43;16;7;33;5;7-16-18-33-43+5;1;14000000;0;0;648;2004,3;34365;10,1;479938;5,1;811049;2;3 195 955;eur;
2010087;MERCREDI;20100721;20100920;43;45;21;3;9;1;3-9-21-43-45+1;0;0;1;389883,1;681;932,7;28892;9,5;400345;4,9;412297;2;6 898 271;eur;
2010086;LUNDI   ;20100719;20100918;27;24;16;10;47;5;10-16-24-27-47+5;0;0;0;0;476;1380,7;19234;9,1;264498;4,7;418815;2;1 475 449;eur;
2010085;SAMEDI  ;20100717;20100916;32;28;47;20;22;6;20-22-28-32-47+6;0;0;6;80296,3;610;1286,8;28041;12,1;426495;5,6;665919;2;5 542 593;eur;
